City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
311,Athens,37.9795,23.7162,60.01,82,20,3.47,GR,few clouds
312,Valparaiso,-33.0393,-71.6273,55.99,94,20,4.61,CL,few clouds
313,Tahoua,14.8888,5.2692,87.8,23,0,5.48,NE,clear sky
314,Auki,-8.7676,160.7034,86.13,66,77,2.44,SB,broken clouds
315,Mulege,26.8833,-111.9833,74.86,34,0,9.46,MX,clear sky
316,Aleksandrov Gay,50.147,48.5704,53.42,75,100,6.91,RU,overcast clouds
317,Chimbote,-9.0853,-78.5783,67.42,85,97,7.2,PE,overcast clouds
318,Takestan,36.0696,49.6959,51.8,54,0,2.3,IR,clear sky
319,Mandiana,10.6333,-8.6833,85.73,29,88,3.15,GN,overcast clouds
320,Slamannan,55.9373,-3.8331,46.99,87,0,1.14,GB,clear sky
321,Puerto Escondido,15.85,-97.0667,80.6,74,1,4.61,MX,clear sky
322,Namibe,-15.1961,12.1522,81.45,68,0,2.62,AO,clear sky
323,Burnie,-41.0667,145.9167,61.0,64,100,7.0,AU,overcast clouds
324,Krasnoselkup,65.7,82.4667,-6.03,92,6,18.19,RU,clear sky
325,Itatiba,-23.0058,-46.8389,66.99,82,75,5.75,BR,broken clouds
326,Ostrovnoy,68.0531,39.5131,29.48,80,100,19.46,RU,overcast clouds
327,Klaksvik,62.2266,-6.589,42.8,87,40,8.05,FO,scattered clouds
328,Coquimbo,-29.9533,-71.3436,57.2,82,90,3.44,CL,overcast clouds
329,Vila,42.0304,-8.1588,54.0,71,100,1.99,PT,light rain
330,Le Port,-20.9373,55.2919,77.0,69,90,13.8,RE,overcast clouds
331,Jiwani,25.05,61.7417,80.55,68,100,12.39,PK,overcast clouds
332,Mayo,38.8876,-76.5119,55.4,62,20,5.64,US,few clouds
333,San Cataldo,37.4841,13.9854,45.0,87,94,5.99,IT,light rain
334,Trincomalee,8.5711,81.2335,78.57,85,100,10.51,LK,overcast clouds
335,Koumac,-20.5667,164.2833,81.36,66,100,4.34,NC,overcast clouds
336,Jardim,-21.4803,-56.1381,74.5,57,41,2.19,BR,scattered clouds
337,Lagoa,39.05,-27.9833,60.67,85,100,10.8,PT,overcast clouds
338,Yarensk,62.1675,49.0916,25.97,74,12,2.08,RU,few clouds
339,Kalmunai,7.4167,81.8167,79.07,80,85,4.0,LK,overcast clouds
340,Lushoto,-4.7833,38.2833,57.52,98,100,4.45,TZ,moderate rain
341,Houma,29.5958,-90.7195,64.99,72,40,8.05,US,scattered clouds
342,Vanimo,-2.6741,141.3028,84.88,65,41,4.07,PG,moderate rain
343,Quatre Cocos,-20.2078,57.7625,78.8,83,75,9.22,MU,light rain
344,Kutum,14.2,24.6667,70.2,9,17,3.4,SD,few clouds
345,Assare,-6.8744,-39.875,69.37,97,99,2.71,BR,overcast clouds
346,Roald,62.5833,6.1333,43.0,87,18,5.75,NO,few clouds
347,Maningrida,-12.0667,134.2667,84.56,59,100,11.79,AU,overcast clouds
348,Bowen,-20.0167,148.2333,80.6,69,40,19.57,AU,scattered clouds
