City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
664,Rosarito,MX,80.6,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
665,Ewa Beach,US,84.2,clear sky,21.3156,-158.0072,Uncle Junior Robert
671,Bitung,ID,86.0,few clouds,1.4451,125.1824,K2 Lembeh
672,Emerald,AU,77.0,clear sky,-23.5333,148.1667,The Irish Village
677,Mae Sai,TH,78.01,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
678,Jurado,CO,78.15,overcast clouds,7.1053,-77.7641, 
682,Isangel,VU,82.4,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
684,Coronado,US,80.6,clear sky,32.6859,-117.1831,The El Cordova Hotel
687,Ormara,PK,80.17,overcast clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
688,Yaan,NG,78.21,overcast clouds,7.3833,8.5667, 
689,Salinopolis,BR,77.56,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
690,Sabang,ID,82.76,overcast clouds,5.8933,95.3214,Hotel Citra
694,Sambava,MG,76.15,light rain,-14.2667,50.1667,Melrose
695,Gladstone,AU,77.0,light rain,-23.85,151.25,Highpoint International
705,Panama City,PA,77.0,broken clouds,8.9936,-79.5197,Hotel Riande Granada Urban
